Id,Title,PublishDate,Abstract
12,Applying Spring Security Framework and OAuth2 To Protect Microservice Architecture API,2019, since microservice architecture has been widely applied and deployed by big companies such as google netflix and twitter this is a way of architecting software systems in which the services of a single application are decomposed then deployed and executed separately this research examines the possibility of applying spring security framework and oauth to secure microservice apis which are built on top of spring framework by developing a proof of concept of an inventory management system using msa on top of spring framework spring security framework and oauth we have conducted security tests over the poc using unit testing and manual testing techniques to examine if there are any vulnerabilities and we were able to show and confirm the effectiveness of the spring security framework and oauth in securing spring based apis key words software architecture microservice architecture oauth spring framework and poc 
13,Component-Based Refinement and Verification of Information-Flow Security Policies for Cyber-Physical Microservice Architectures,2019, since cyber physical systems are inherently vulnerable to information leaks software architects need to reason about security policies to define desired and undesired information flow through a system the microservice architectural style requires the architects to refine a macro level security policy into micro level policies for individual microservices however when policies are refined in an ill formed way information leaks can emerge on composition of microservices related approaches to prevent such leaks do not take into account characteristics of cyber physical systems like real time behavior or message passing communication in this paper we enable the refinement and verification of information flow security policies for cyber physical microservice architectures we provide architects with a set of well formedness rules for refining a macro level policy in a way that enforces its security restrictions based on the resulting micro level policies we present a verification technique to check if the real time message passing of microservices is secure in combination our contributions prevent information leaks from emerging on composition we evaluate the accuracy of our approach using an extension of the cocome case study 
14,ConfigRand: A Moving Target Defense Framework against the Shared Kernel Information Leakages for Container-based Cloud,2021, lightweight virtualization represented by container technology provides a virtual environment for cloud services with more flexibility and efficiency due to the kernel sharing property however the shared kernel also means that the system isolation mechanisms are incomplete attackers can scan the shared system configuration files to explore vulnerabilities for launching attacks previous works mainly eliminate the problem by fixing operating systems or using access control policiesbut these methods require significant modifications and cannot meet the security needs of individual containers accurately in this paper we present configrand a moving target defense framework to prevent the information leakages due to the shared kernel in the container based cloud the configrand deploys deceptive system configurations for each container bounding the scan of attackers aimed at the shared kernel in design ofconfigrand we propose a framework applying the moving target defense philosophy to periodically generate distribute and deploy the deceptive system configurations in the container based cloud establish a model to formalize these configurations and quantify their heterogeneity present a configuration movement strategy to evaluate and optimize the variation of configurations the results show that configrand can effectively prevent the information leakages due to the shared kernel and apply to typical container applications with minimal system modification and performance degradation 
15,The 5G-EPICENTRE Approach for Decreasing Attack Surface on Cross-Testbeds Cloud-native 5G Scenarios,2021, the g epicentre eu funded project proposes mission critical service and application experimentation in federation adopting a testbed of testbeds approach in which different g based platforms are intelligently combined and calibrated from a single control point this cross testbed concept embraced in the g epicentre project together with the transition of g technologies into a cloud native environment pose numerous challenges including an increased attack surface and various security concerns such as how to enforce security policies at multiple levels across the entire infrastructure in that sense first this paper provides an overview of such security challenges and a review of the methodologies discussed in the literature to decrease the attack surface in those complex scenarios later this paper presents the g epicentre security approach and an early version of a security framework which considers the usage of security by design techniques network and container level isolation strategies and the usage of the service mesh design pattern all of them key elements to allow to secure the overall infrastructure and monitor mitigate and respond to security incidents 
16,FirecREST: a RESTful API to HPC systems,2020, as science gateways are becoming an increasingly popular digital interface for scientific communities it is important for high performance computing centers to provide a modern and externally accessible interface such as web enabled apis such an interface provides access to hpc center resources to allow scientific web portals to submit a job or move data in and out the hpc center this work presents the firecrest api a restful web api infrastructure that allows scientific communities to access the various integrated resources and services available on hpc systems the capabilities of firecrest have been defined based on the use case requirements described in this work 
17,Evaluation of security threats in microservice architectures,2022, i abstract the microservice architecture is a popular architectural pattern in the industry to implement large systems as they can reduce the code bases of each service and increase the maintainability for each of the individual services by dividing the application into smaller components based on business logic the services can be implemented in different programming languages and communicates over anetwork as a consequence it might lead to a greater attack surface for an adversary of the system in order to ease the implementation of microservice architectures a set of design patterns exists two patterns addressing the security of the architecture are the api gateway pattern and the sidecar pattern more research is needed in order to identify the security threats microservice architecture encounters and how the design pattern handles those this master thesis uses threat modeling withattack graphs along withattack simulations in order to investigate the threats in microservice architectures and how they compare between the design patterns to construct the attack graphs and perform the attack simulations securicad along with corelang was used on a microservice architecture with each of the design patterns the report concludes that the sidecar pattern is faced with less risk than the api gateway pattern overall and presents a set of suggestions regarding how the security can be improved in microservice architectures 
18,Graph-based IoT microservice security,2018, the internet of things can be considered as service oriented architecture of microservices the ss inherently process data that affects the privacy safety and security of its users iot service security is a key challenge most state of the art providing iot systemsecurity is policy basedwe showcase a graph based access control that runs as module on iot nodes or in the network our solution intercepts and firewalls inter service communication it automatically creates a model of legitimate communication relationships the model is interactively updated via a simple to understand interface our solution adds inevitable iot security to existing iot systems 
19,Securing Microservices Against Password Guess Attacks using Hardware Performance Counters,2022, modern customer facing applications need to be easy to use localizable and to scale out to serve large customer bases microservice architectures have the potential to decentralize functionality improve flexibility and provide faster time to market of incremental changes however applications implemented as microservices also have a larger surface area which may make them more prone to cyber attacks modern operating systems provide performance counters which are tamper resistant and can be used to track the runtime behavior of applications in this work we aim to detect a password guess attack on microservice using performance counter data our approach consists of modeling behavior of normal and attack user login requests identification of key performance counters that effectively distinguish these requests and developing a machine learning model that classifies unknown login requests a fully connected neural network based classification model gave us better test accuracy in detecting the attacks 
20,HT-RBAC: A Design of Role-based Access Control Model for Microservice Security Manager,2021, for transitioning to a decentralized system a microservices platform has become popular in today software development due to its light weight mechanisms however increasing the number of services results in a challenge to maintain the security of access control the more attack surfaces can bring security and privacy risk via sensitive data therefore a chain of trust domains was introduced to solve this problem the extended role based access control model for microservice security managers is proposed for leveraging threats of unauthorized access to sensitive information and identity verification across all environments in application container solutions this paper proposes using an ht rbac to authenticate authorize and identify user access control via api gateway a prototype system integrated with oauth authentication server is implemented for empirical study the results report that the approach provides faster and more flexible access to information in addition to improving incident response time 
21,To Detect and Prevent Vulnerabilities in Microservices and Application Programming Interface,2022, microservices also known as microservice architecture is a procedure designed for service oriented architectures these services are utilized in the development of software systems which are elastic and can be deployed independently by breaking down an application into various smaller units the benefits of this mechanism include development of application in a distributed manner integration of systems which are heterogenous in nature extensibility and adaptability microservices are completed based on the functioning of apis here api refers to application programming interface which is an intermediary software between different software or computer programs facilitating communication among each other for instance when any kind of application is connected to the internet through a device and transmits information to server the server fetches this data processes it and remits it to the device the main motive of this paper is to achieve secured microservices with the usage of technologies like react js java along with buckets and tokens and spring boot framework it ensures the minimization of harmful effects of an attack as a result an application with microservice framework using spring boot is built which provides additional security measures for api vulnerabilities gives an extra layer of protection and defense to the system and mitigates the scope of attacks in microservices 
22,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,2020, microservice architectures adoption is growing availability in market size and adoption including in business critical systems this is due to agility in development and deployment further increased by containers and their characteristics ensuring security is still a major concern due to challenges faced such as resource separation and isolation as improper access to one service might compromise complete systems this doctoral work intends to advance the security of microservice systems through research and improvement of methodologies for detection tolerance and mitigation of security intrusions while overcoming challenges related to multi tenancy heterogeneity dynamicity of systems and environments our preliminary research shows that host based idses are applicable in container environments this will be extended to dynamic scenarios serving as a stepping stone to research intrusion tolerance techniques suited to these environments these methodologies will be demonstrated in realistic microservice systems complex dynamic scalable and elastic 
23,Securing Microservices,2018, microservices has drawn significant interest in recent years and is now successfully finding its way into different areas from enterprise it to internet of things to even critical applications this article discusses how microservices can be secured at different levels and stages considering a common software development lifecycle 
24,Anomaly Detection of Web-Based Attacks in Microservices,2021, author eljon harlicaj title anomaly detection of web based attacks in microservices school school of science degree programme master of science major security and cloud computing code sci supervisor prof mario di francesco aalto university prof davide balzarotti eurecom level master thesis date july pages language english abstract cybercriminals exploit vulnerabilities in web applications by leveraging different attacks to gain unauthorized access to sensitive resources in web servers security researchers have extensively investigated anomaly detection of web based attacks however the cloud native paradigm shift combined with the increasing usage of microservices introduces new challenges and opportunities this thesis studies relevant research in anomaly detection of web based attacks and proposes new methods for modeling regular web requests and the inter service communication patterns in modern web applications specifically we present a solution that leverages service meshes for collecting web logs in cloud environments without accessing the source code of the applications first we present the design and implementation of a method to abstract from web logs to log keys sequences for performing anomaly detection with lstm recurrent neural networks second we implement autoencoders to detect anomalies in the content of web requests finally we create two datasets and conduct experiments to analyze and evaluate our solution we perform an extensive analysis of the parameter space and the related impact on the anomaly detection performance by an appropriate choice of these parameters our solution is able to detect of the anomalies in the considered dataset with only a false positive rate 
25,Microservice Security Agent Based On API Gateway in Edge Computing,2019, internet of things devices are embedded with software electronics and sensors and feature connectivity with constrained resources they require the edge computing paradigm with modular characteristics relying on microservices to provide an extensible and lightweight computing framework at the edge of the network edge computing can relieve the burden of centralized cloud computing by performing certain operations such as data storage and task computation at the edge of the network despite the benefits of edge computing it can lead to many challenges in terms of security and privacy issues thus services that protect privacy and secure data are essential functions in edge computing for example the end user ownership and privacy information and control are separated which can easily lead to data leakage unauthorized data manipulation and other data security concerns thus the confidentiality and integrity of the data cannot be guaranteed and so more secure authentication and access mechanisms are required to ensure that the microservices are exposed only to authorized users in this paper we propose a microservice security agent to integrate the edge computing platform with the api gateway technology for presenting a secure authentication mechanism the aim of this platform is to afford edge computing clients a practical application which provides user authentication and allows jwt based secure access to the services of edge computing to integrate the edge computing platform with the api gateway we implement a microservice security agent based on the open source kong in the edgex foundry framework also to provide an easy to use approach with kong we implement rest apis for generating new consumers registering services configuring access controls finally the usability of the proposed approach is demonstrated by evaluating the round trip time the results demonstrate the efficiency of the system and its suitability for real world applications 
26,Microservices Security Challenges and Approaches,2022, the fast paced development cycles of microservices applications increase the probability of insufficient security tests in the development pipelines and consequent deployment of vulnerable microservices the distribution and ephemeral of microservices create a discoverability challenge for traditional security assessment techniques especially for microservices being dynamically launched and de registered to address this in applications and networks continuous security assessments are used for vulnerability detection detected vulnerabilities are there after patched essentially reducing the chances for security attacks this paper illustrates the microservices architecture and its components from the security perspective it investigates summarizes and highlights the microservices security related challenges and the suggested approaches and proposals for facing them it addresses the security impact on the different microservice architectural perspectives 
27,Microservices API Security,2018, microservices have become the hot term since this particular programming methodology involves an architectural approach that emphasizes the decomposition of applications into single purpose with implementation via the rest api a new software development style that has grown from recent trends in software developmentmanagement practices microservices are composable fine grained modules which can be independently deployable and scaled both vertically and horizontally this empowers the development manageability and speed to the changing market by adapting to agile methods devops culture cloud linux containers and continuous integration continuous development methods this paper will focus on the necessity for this methodology as well as it corresponding api security options needed for securing all of the backend microservices 
28,Security monitoring of microservice-based applications,2023, microservice based architecture is a relatively new paradigm of software development that has gained tremendous popularity recently a microservice based application comprises multiple relatively small independent functional components that interact to accomplish a sophisticated function microservices enable agile development and deployment of applications and enhanced scalability and resiliency however microservices based systems have more significant security concerns than traditional monolithic systems in this article we discuss the various security loopholes of a microservice based architecture and how these diverse components increase the attack surface of the aggregate framework this article also proposes a machine learning based behavioral analysis framework that analyzes the network traffic and api calls to detect flaws and vulnerabilities in the microservice architecture to overcome these challenges prior research has demonstrated the potential of network monitoring to secure microservice based cloud applications however they used hand designed policies to enforce security compliance manually designed policies have their drawbacks this article discusses these challenges and proposes anovel ml based pattern recognition to automate the manual definition of policies ml based attack detection techniques have achieved state of the art performance in various cybersecurity applications like malware detection and vulnerability detection however security monitoring of microservice based applications is still a developing research field that has not experienced the impact of ml yet this article proposes implementing supervised ml based security monitoring of microservice based applications based on seeker to detect vulnerability exploits in real time 
29,Security Strategies for Microservices-based Application Systems,2019, microservices architecture is increasingly being used to develop application systems since its smaller codebase facilitates faster code development testing and deployment as well as optimization of the platform based on the type of microservice support for independent development teams and the ability to scale each component independently microservices generally communicate with each other using application programming interfaces which requires several core features to support complex interactions between a substantial number of components these core features include authentication and access management service discovery secure communication protocols security monitoring availabilityresiliency improvement techniques load balancing and throttling integrity assurance techniques during induction of new services and handling of session persistence additionally the core features could be bundled or packaged into architectural frameworks such as api gateways and service mesh the purpose of this document is to analyze the multiple implementation options available for each individual core feature and configuration options in architectural frameworks develop security strategies that counter threats specific to microservices and enhance the overall security profile of the microservices based application 
30,Building Secure Microservices-based Applications Using Service-Mesh Architecture,2020, the increasing trend in building microservices based applications calls for addressing security in all aspects of service to service interactions due to their unique characteristics the distributed cross domain nature of microservices needs secure token service key management and encryption services for authentication and authorization and secure communication protocols the ephemeral nature of clustered containers calls for secure service discovery the availability requirement calls for resiliency techniques such as load balancing circuit breaking and throttling and continuous monitoring the service mesh is the best known approach that can facilitate specification of these requirements at a level of abstraction such that it can be uniformly and consistently defined while also being effectively implemented without making changes to individual microservice code the purpose of this document is to provide deployment guidance for proxy based service mesh components that collectively form a robust security infrastructure for supporting microservices based applications 
31,Optimization of Microservices Security,2022, is a trending architecture and due to its demanding features and behaviors billions of business applications are developed based on it due to its remarkable ability to deploy and coordinate containerized microservices kubernetes deployments support the service mesh architectures and that ensures secured inter service communication the istio is the widely used service mesh tool at present however service to service communication happens in the present istio architecture and there is a probability of exchanging unauthorized and over provisioned requests due to incorrect implementation currently these requests are verified within the upstream microservice obtaining a response to an erroneous request may take considerable time latency this research thereby aims to address a solution to reduce the latency of a response by implementing an external validation model the proposed external validation model ensures that the required parameters are validated and actions are taken before requests reach the service level external validation enables applications to save significant time and resources 
32,Overcoming Security Challenges in Microservice Architectures,2018, the microservice architectural style is an emerging trend in software engineering that allows building highly scalable and flexible systems however current state of the art provides only limited insight into the particular security concerns of microservice system with this paper we seek to unravel some of the mysteries surrounding microservice security by providing a taxonomy of microservices security assessing the security implications of the microservice architecture and surveying related contemporary solutions among others docker swarm and netflix security decisions we offer two important insights on one hand microservice security is a multi faceted problem that requires a layered security solution that is not available out of the box at the moment on the other hand if these security challenges are solved microservice architectures can improve security their inherent properties of loose coupling isolation diversity and fail fast all contribute to the increased robustness of a system to address the lack of security guidelines this paper describes the design and implementation of a simple security framework for microservices that can be leveraged by practitioners proof of concept evaluation results show that the performance overhead of the security mechanisms is around 
33,Assisted Monitoring and Security Provisioning for 5G Microservices-Based Network Slices with SWEETEN,2023, g networks have imposed a drastic shift in how mobile telecommunications must operate in order to comply with the new requirements solutions based on network function virtualization and network slicing must be carried out regarding nfv in particular the trend towards pulverizing the monolithic software in a microservices based one carries network management challenges to operators the deployment and integration of one or more network management software with the managed services is as important as it is delicate as stringent requirements of g applications must be respected in this paper we propose sweeten as a solution for automating the deployment and transparently integrating network management solutions from different management disciplines in this case monitoring and security demonstrating its usability through a intelligenthealthcare use case sweeten is shown to transparently provide monitoring and security solutions for a complete network slice enabling compliance with privacy requirements through minimal low level interventions from the network slice tenant the results show how sweeten integration of monitoring and security disciplines can assist users in guaranteeing the correct operation of their deployments regardless of the underlying software solutions used 
34,Automatic Policy Generation for Inter-Service Access Control of Microservices,2021, cloud applications today are often composed of many microservices to prevent a microservice from being abused by other microservices inter service access con trol is applied however the complexity of fine grained access control policies along with the large scale and dynamic nature of microservices makes the current manual configuration based access control unsuitable this paper presents au toarmor the first attempt to automate inter service access control policy generation for microservices with two fun damental techniques a static analysis based request ex traction mechanism that automatically obtains the invocation logic among microservices and a graph based policy man agement mechanism that generates corresponding access con trol policies with on demand policy update our evaluation on popular microservice applications shows that autoarmor is able to generate fine grained inter service access control policies and update them timely based on changes in the ap plication with only a minor runtime overhead by seamlessly integrating with the lifecycle of microservices it does not require any changes to existing code and infrastructures 
35,Security-as-a-Service for Microservices-Based Cloud Applications,2015, microservice architecture allows different parts of an application to be developed deployed and scaled independently therefore becoming a trend for developing cloud applications however it comes with challenging security issues first the network complexity introduced by the large number of microservices greatly increases the difficulty in monitoring the security of the entire application second microservices are often designed to completely trust each other therefore compromise of a single microservice may bring down the entire application the problems are only exacerbated by the cloud since applications no longer have complete control over their networks in this paper we propose a design for saas for microservices based cloud applications by adding anew api primitive flowtap for the network hypervisor we build a flexible monitoring and policy enforcement infrastructure for network traffic to secure cloud applications we demonstrate the effectiveness of our solution by deploying the bro network monitor using flowtap results show that our solution is flexible enough to support various kinds of monitoring scenarios and policies and it incurs minimal overhead for real world usage as a result cloud applications can leverage our solution to deploy network security monitors to flexibly detect and block threats both external and internal to their network 
36,Security Audit of Docker Container Images in Cloud Architecture,2021, containers technology radically changed the ways for packaging applications and deploying them as services in cloud environments according to the recent report on security predictions by trend micro the vulnerabilities in container components deployed with cloud architecture have been one of the top security concerns for development and operations teams in enterprises docker is one of the leading container technologies that automate the deployment of applications into containers docker hub is a public repository by docker for storing and sharing the docker images these docker images are pulled from the docker hub repository and the security of images being used from the repositories in any cloud environment could be at risk vulnerabilities in docker images could have a detrimental effect on enterprise applications in this paper the focus is on securing the docker images using vulnerability centric approach to detect the vulnerabilities a set of use cases compliant with the nist sp application container security guide is developed for audit compliance of docker container images with the owasp container security verification standards in this paper firs vulnerabilities of docker container images are identified and assessed using the vca then a set of use cases to identify presence of the vulnerabilities is developed to facilitate the security audit of the container images finally it is illustrated how the proposed use cases can be mapped with the requirements of the owasp container security verification standards the use cases can serve as a security auditing tool during the development deployment and maintenance of cloud microservices applications 
37,Applying Spring Security Framework with KeyCloak-Based OAuth2 to Protect Microservice Architecture APIs: A Case Study,2022, in this study we implemented an integrated security solution with spring security and keycloak open access platform to secure data collection and exchange over microservice architecture application programming interfaces the adopted solution implemented the following security features open authorization multi factor authentication identity brokering and user management to safeguard microservice apis then we extended the security solution with a virtual private network blowfish and crypt hash encryption method api key network firewall and secure socket layer to build up a digital infrastructure to accomplish and describe the adopted ssk solution we utilized a web engineering security method as a case study we designed and developed an electronic health coaching prototype system and hosted the system in the expanded digital secure infrastructure to collect and exchange personal health data over microservice apis we further described our adopted security solution procedural technical and practical considerations we validated our ssk solution implementation by theoretical evaluation and experimental testing we have compared the test outcomes with related studies qualitatively to determine the efficacy of the hybrid security solution in digital infrastructure the ssk implementation and configuration in the ecoach prototype system has effectively secured its microservice apis from an attack in all the considered scenarios with accuracy the developed digital infrastructure with ssk solution efficiently sustained a load of concurrent users in addition we have performed a qualitative comparison among the following security solutions spring based security keycloak based security and their combination where ssk showed a promising outcome 
38,Microservice Security Framework for IoT by Mimic Defense Mechanism,2022, containers and microservices have become the most popular method for hosting iot applications in cloud servers however one major security issue of this method is that if a container image contains software with security vulnerabilities the associated microservices also become vulnerable at runtime existing works attempted to reduce this risk with vulnerability scanning tools they however demand an up to date database and may not work with unpublished vulnerabilities in this paper we propose anovel system to strengthen container security from unknown attack using the mimic defense framework specifically we constructed a resource pool with variant images and observe the inconsistency in execution results from which we can identify potential vulnerabilities to avoid continuous attack we created a graph based scheduling strategy to maximize the randomness and heterogeneity of the images used to replace the current images we implemented a prototype using kubernetes experimental results show that our framework makes hackers have to send more random requests to complete the attack and increases the defense success rate by around over the baseline framework to avoid the continuous unknown attacks 
39,SFTSDH: Applying Spring Security Framework With TSD-Based OAuth2 to Protect Microservice Architecture APIs,2022, the iomt combines medical devices and applications that use network technologies to connecthealthcare information systems iomt is reforming the medical industry by adopting information and communication technologies identity verification secure collection and exchange of medical data are essential in health applications in this study we implemented a hybrid security solution to secure the collection and management of personal health data using spring framework services for sensitive data as a service platform and http security methods the adopted solution instigated the following security features identity brokering oauth multifactor authentication and access control to protect the microservices architecture application programming interfaces following the general data protection regulation moreover we extended the adopted security solution to develop a digital infrastructure to facilitate the research and innovation work in the electronic health section focusing on solution validation with theoretical evaluation and experimental testing we used a web engineering security methodology to achieve and explain the adopted security solution as a case study we designed and implemented electronic coaching prototype system and deployed the same in the developed infrastructure to securely record and share personal health data furthermore we compared the test results with related studies qualitatively for the efficient evaluation of the implemented security solution the sftsdh implementation and configuration in the prototype system have effectively secured the ecoach apis from an attack in all the considered scenarios the ecoach prototype with the sftsdh solution effectively sustained a load of concurrent users in the developed digital health infrastructure in addition we performed a qualitative comparison among the following security solutions sf security third party security and sftsdh where sftsdh showed a promising outcome 
40,Stay at the Helm: secure Kubernetes deployments via graph generation and attack reconstruction,2022, in recent years there has been an explosion of attacks directed at microservice based platforms a trend that follows closely the massive shift of the digital industries towards these environments management and operation of container based microservices is automation heavy leveraging on container orchestration engines such as kubernetes helm is the package manager of choice for ks and provides charts ie configuration files that define a programmatic model for application deployments in this paper we propose anovel methodology for extracting and evaluating the security model of helm charts our proposal extracts a topological graph of the chart whose nodes and edges are then characterised by security features we carry out risk assessments that refer to the attack tactics of the mitre attck framework furthermore starting from these scores we extract the riskiest attack paths we adopt an experimental validation approach by analysing a dataset created from multiple publicly accessible helm chart repositories our methodology reveals that in most cases they have vulnerabilities that can be exploited through complex attack paths 
